date, pm25
2020/3/11, 132
2020/3/12, 163
2020/3/13, 138
2020/3/14, 129
2020/3/15, 91
2020/3/16, 76
2020/3/17, 102
2020/3/18, 132
2020/3/19, 98
2020/3/20, 110
2020/3/21, 87
2020/3/22, 91
2020/3/23, 147
2020/3/24, 119
2020/3/25, 110
2020/3/26, 112
2020/3/27, 125
2020/3/28, 100
2020/3/29, 95
2020/3/30, 86
2020/3/31, 90
2019/10/1, 101
2019/10/2, 122
2019/10/3, 102
2019/10/4, 118
2019/10/5, 105
2019/10/6, 127
2019/10/7, 147
2019/10/8, 114
2019/10/9, 126
2019/10/10, 140
2019/10/11, 133
2019/10/12, 141
2019/10/13, 125
2019/10/14, 106
2019/10/15, 79
2019/10/16, 90
2019/10/17, 92
2019/10/18, 88
2019/10/19, 112
2019/10/20, 119
2019/10/21, 105
2019/10/22, 105
2019/10/23, 84
2019/10/24, 93
2019/10/25, 125
2019/10/26, 144
2019/10/27, 135
2019/10/28, 132
2019/10/29, 109
2019/10/30, 91
2019/10/31, 97
2019/11/1, 73
2019/11/2, 81
2019/11/3, 125
2019/11/4, 97
2019/11/5, 75
2019/11/6, 118
2019/11/7, 135
2019/11/8, 155
2019/11/9, 173
2019/11/10, 150
2019/11/11, 121
2019/11/12, 167
2019/11/13, 178
2019/11/14, 174
2019/11/15, 170
2019/11/16, 190
2019/11/17, 186
2019/11/18, 207
2019/11/19, 202
2019/11/20, 204
2019/11/21, 149
2019/11/22, 111
2019/11/23, 112
2019/11/24, 102
2019/11/25, 107
2019/11/26, 154
2019/11/27, 182
2019/11/28, 177
2019/11/29, 167
2019/11/30, 138
2019/12/1, 91
2019/12/2, 82
2019/12/3, 78
2019/12/4, 106
2019/12/5, 151
2019/12/6, 88
2019/12/7, 149
2019/12/8, 153
2019/12/9, 160
2019/12/10, 115
2019/12/11, 95
2019/12/12, 144
2019/12/13, 76
2019/12/14, 71
2019/12/15, 110
2019/12/16, 95
2019/12/17, 91
2019/12/18, 107
2019/12/19, 119
2019/12/20, 136
2019/12/21, 68
2019/12/22, 72
2019/12/23, 96
2019/12/24, 107
2019/12/25, 78
2019/12/26, 76
2019/12/27, 115
2019/12/28, 103
2019/12/29, 101
2019/7/1, 107
2019/7/2, 116
2019/7/3, 81
2019/7/4, 88
2019/7/5, 132
2019/7/6, 143
2019/7/7, 100
2019/7/8, 138
2019/7/9, 95
2019/7/10, 117
2019/7/11, 124
2019/7/12, 114
2019/7/13, 126
2019/7/14, 85
2019/7/15, 94
2019/7/16, 133
2019/7/17, 139
2019/7/18, 117
2019/7/19, 147
2019/7/20, 139
2019/7/21, 130
2019/7/22, 122
2019/7/23, 126
2019/7/24, 107
2019/7/25, 118
2019/7/26, 127
2019/7/27, 129
2019/7/28, 132
2019/7/29, 138
2019/7/30, 143
2019/7/31, 148
2019/8/1, 128
2019/8/2, 132
2019/8/3, 105
2019/8/4, 106
2019/8/5, 122
2019/8/6, 162
2019/8/7, 162
2019/8/8, 150
2019/8/9, 125
2019/8/10, 102
2019/8/11, 134
2019/8/12, 154
2019/8/13, 90
2019/8/14, 96
2019/8/15, 94
2019/8/16, 86
2019/8/17, 79
2019/8/18, 96
2019/8/21, 131
2019/8/22, 118
2019/8/23, 115
2019/8/24, 131
2019/8/25, 124
2019/8/26, 104
2019/8/27, 101
2019/8/28, 112
2019/9/9, 85
2019/9/10, 70
2019/9/11, 76
2019/9/12, 106
2019/9/13, 126
2019/9/14, 99
2019/9/15, 91
2019/9/16, 99
2019/9/17, 109
2019/9/18, 98
2019/9/19, 120
2019/9/20, 122
2019/9/21, 140
2019/9/22, 120
2019/9/23, 112
2019/9/24, 138
2019/9/25, 145
2019/9/26, 160
2019/9/27, 164
2019/9/28, 141
2019/9/29, 119
2019/9/30, 77
2019/4/1, 49
2019/4/2, 79
2019/4/3, 54
2019/4/4, 74
2019/4/5, 67
2019/4/6, 38
2019/4/7, 67
2019/4/8, 85
2019/4/9, 69
2019/4/10, 45
2019/4/11, 83
2019/4/12, 60
2019/4/13, 78
2019/4/14, 89
2019/4/15, 57
2019/4/16, 44
2019/4/17, 60
2019/4/18, 57
2019/4/19, 7
2019/6/3, 67
2019/6/4, 73
2019/6/5, 84
2019/6/6, 75
2019/6/7, 93
2019/6/8, 80
2019/6/9, 99
2019/6/10, 71
2019/6/11, 83
2019/6/12, 96
2019/6/13, 99
2019/6/14, 106
2019/6/15, 91
2019/6/16, 144
2019/6/17, 92
2019/6/18, 67
2019/6/19, 84
2019/6/20, 102
2019/6/21, 113
2019/6/22, 106
2019/6/23, 86
2019/6/24, 97
2019/6/25, 117
2019/6/26, 131
2019/6/27, 121
2019/6/28, 98
2019/6/29, 106
2019/6/30, 104
2019/1/1, 160
2019/1/2, 146
2019/1/3, 137
2019/1/4, 104
2019/1/5, 123
2019/1/6, 77
2019/1/7, 60
2019/1/8, 77
2019/1/9, 79
2019/1/10, 58
2019/1/11, 80
2019/1/12, 74
2019/1/13, 35
2019/1/14, 27
2019/1/15, 78
2019/1/16, 135
2019/1/17, 34
2019/1/18, 49
2019/1/19, 81
2019/1/20, 62
2019/1/21, 72
2019/1/22, 125
2019/1/23, 106
2019/1/24, 120
2019/1/25, 58
2019/1/26, 84
2019/1/27, 40
2019/1/28, 32
2019/1/29, 61
2019/1/30, 133
2019/1/31, 76
2019/2/1, 106
2019/2/2, 96
2019/2/3, 57
2019/2/4, 84
2019/2/5, 126
2019/2/6, 71
2019/2/7, 100
2019/2/8, 123
2019/2/9, 118
2019/2/10, 124
2019/2/11, 79
2019/2/12, 111
2019/2/13, 134
2019/2/14, 47
